"territory","num_economactivepopulation_all","employed_num_all","unemployed_num_all","eactivity_lvl","employment_lvl","unemployment_lvl","dis_unagegroup_to20","dis_unagegroup_20-29","dis_unagegroup_30-39","dis_unagegroup_40-49","dis_unagegroup_50-59","dis_unagegroup_60older","dis_emagegroup_to20","dis_emagegroup_20-29","dis_emagegroup_30-39","dis_emagegroup_40-49","dis_emagegroup_50-59","dis_emagegroup_60older","num_unagegroup_to20","num_unagegroup_20-29","num_unagegroup_30-39","num_unagegroup_40-49","num_unagegroup_50-59","num_unagegroup_60older","num_emagegroup_to20","num_emagegroup_20-29","num_emagegroup_30-39","num_emagegroup_40-49","num_emagegroup_50-59","num_emagegroup_60older","year"
"Российская Федерация","70816.1","64400.1","6416.0","64.2","58.4","9.1","8.2","30.7","24.8","24.2","9.7","2.4","2.2","21.8","26.5","30.7","14.6","4.4","526.1","1969.7","1591.2","1552.7","622.4","154.0","1416.8","14039.2","17066.0","19770.8","9402.4","2833.6",2001
"Центральный федеральный округ","18337.9","17181.9","1156.0","64.6","60.5","6.3","7.9","29.8","24.6","24.4","10.4","2.9","1.7","20.1","25.9","30.6","16.2","5.5","91.3","344.5","284.4","282.1","120.2","33.5","292.1","3453.6","4450.1","5257.7","2783.5","945.0",2001
"Белгородская область","737.9","689.6","48.3","65.4","61.1","6.5","6.0","43.4","17.2","19.4","8.9","5.0","1.9","21.5","27.1","30.4","12.4","6.7","2.9","21.0","8.3","9.4","4.3","2.4","13.1","148.3","186.9","209.6","85.5","46.2",2001
"Брянская область","653.5","588.1","65.3","61.0","54.9","10.0","5.9","33.3","28.0","23.6","8.2","1.0","2.8","23.1","27.1","30.7","12.4","3.9","3.9","21.7","18.3","15.4","5.4","0.7","16.5","135.9","159.4","180.5","72.9","22.9",2001
"Владимирская область","808.9","728.4","80.5","65.4","58.9","9.9","13.2","32.4","21.4","25.0","5.0","3.1","2.3","21.6","25.7","30.4","15.4","4.6","10.6","26.1","17.2","20.1","4.0","2.5","16.8","157.3","187.2","221.4","112.2","33.5",2001
"Воронежская область","1116.6","1009.0","107.6","60.1","54.3","9.6","3.4","23.6","33.2","24.8","10.3","4.7","1.1","21.3","25.4","30.6","16.9","4.6","3.7","25.4","35.7","26.7","11.1","5.1","11.1","214.9","256.3","308.8","170.5","46.4",2001
"Ивановская область","588.3","555.2","33.1","62.6","59.1","5.6","6.5","35.0","28.3","19.6","9.1","1.5","3.0","22.6","26.2","30.1","13.9","4.2","2.2","11.6","9.4","6.5","3.0","0.5","16.7","125.5","145.5","167.1","77.2","23.3",2001
"Калужская область","550.3","517.2","33.1","66.3","62.3","6.0","4.2","28.4","30.2","26.8","6.8","3.6","3.2","20.2","25.3","29.8","15.2","6.3","1.4","9.4","10.0","8.9","2.3","1.2","16.6","104.5","130.9","154.1","78.6","32.6",2001
"Костромская область","380.1","357.4","22.8","64.2","60.4","6.0","10.2","33.0","19.7","18.2","18.0","0.9","2.4","22.8","26.1","32.2","13.2","3.3","2.3","7.5","4.5","4.1","4.1","0.2","8.6","81.5","93.3","115.1","47.2","11.8",2001
"Курская область","622.5","557.5","65.0","63.1","56.5","10.4","10.0","33.8","24.4","25.0","5.6","1.3","1.5","21.1","26.2","31.5","14.8","4.9","6.5","22.0","15.9","16.3","3.6","0.8","8.4","117.6","146.1","175.6","82.5","27.3",2001
"Липецкая область","600.3","560.5","39.8","63.5","59.3","6.6","6.0","35.7","23.6","24.5","9.6","0.6","1.2","19.7","27.6","30.7","14.7","6.2","2.4","14.2","9.4","9.8","3.8","0.2","6.7","110.4","154.7","172.1","82.4","34.8",2001
"Московская область","3443.4","3255.1","188.2","67.9","64.2","5.5","9.7","23.5","22.8","29.1","10.8","4.1","1.6","19.1","25.9","29.4","16.8","7.3","18.3","44.2","42.9","54.8","20.3","7.7","52.1","621.7","843.1","957.0","546.9","237.6",2001
"Орловская область","433.7","399.4","34.3","63.8","58.7","7.9","0.3","34.8","28.5","20.2","14.7","1.6","2.5","20.5","27.5","31.2","14.0","4.2","0.1","11.9","9.8","6.9","5.0","0.5","10.0","81.9","109.8","124.6","55.9","16.8",2001
"Рязанская область","594.6","527.9","66.7","61.0","54.2","11.2","11.2","33.5","21.3","26.3","5.6","2.1","2.2","22.1","27.0","29.8","15.1","3.8","7.5","22.3","14.2","17.5","3.7","1.4","11.6","116.7","142.5","157.3","79.7","20.1",2001
"Смоленская область","556.5","501.4","55.1","65.1","58.6","9.9","7.5","33.9","23.2","19.9","13.0","2.4","1.6","20.2","25.6","32.4","14.9","5.3","4.1","18.7","12.8","11.0","7.2","1.3","8.0","101.3","128.4","162.5","74.7","26.6",2001
"Тамбовская область","542.9","475.5","67.4","56.9","49.9","12.4","8.9","22.4","33.1","22.1","12.9","0.6","1.7","21.2","26.9","32.7","13.6","3.8","6.0","15.1","22.3","14.9","8.7","0.4","8.1","100.8","127.9","155.5","64.7","18.1",2001
"Тверская область","774.3","713.9","60.4","64.1","59.1","7.8","10.3","27.8","18.5","25.5","15.1","2.7","2.4","23.4","25.6","30.6","14.1","4.0","6.2","16.8","11.2","15.4","9.1","1.6","17.1","167.1","182.8","218.5","100.7","28.6",2001
